

#############    Traffic = uniform_random      Network = 4x4                    ################

Inject_rate                   Energy                        Latency                       Deflect_rate                  Throughput                    

BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  
0.01      0.01      0.01      14.91     7.82      0.0       10.79     8.68      8.81      0.0       0.0       0.00      0.12      0.13      0.0       
0.01      0.01      0.01      29.03     15.77     0.0       10.73     8.74      8.78      0.01      0.0       0.01      0.23      0.27      0.0       
0.02      0.02      0.02      43.93     24.03     0.0       10.77     8.74      8.77      0.02      0.005     0.01      0.35      0.42      0.0       
0.03      0.03      0.03      60.98     32.35     0.0       10.71     8.67      8.80      0.04      0.01      0.03      0.5       0.57      0.0       
0.04      0.04      0.04      76.00     41.02     0.0       10.82     8.79      8.78      0.06      0.02      0.05      0.61      0.73      0.0       
0.05      0.05      0.05      93.24     49.95     0.0       10.77     8.75      8.86      0.08      0.025     0.07      0.75      0.91      0.0       
0.05      0.06      0.06      108.38    58.81     0.0       10.83     8.74      8.86      0.11      0.035     0.10      0.86      1.09      0.0       
0.06      0.06      0.06      126.08    66.67     0.0       10.84     8.70      8.92      0.15      0.04      0.14      1.01      1.21      0.0       
0.07      0.07      0.07      144.93    76.58     0.0       10.92     8.77      8.92      0.19      0.055     0.20      1.16      1.41      0.0       
0.08      0.08      0.08      161.49    85.20     0.0       11.00     8.79      9.01      0.25      0.07      0.24      1.29      1.56      0.0       
0.09      0.09      0.09      181.77    95.19     0.0       11.05     8.83      9.09      0.31      0.09      0.31      1.46      1.77      0.0       
0.10      0.10      0.10      200.99    104.59    0.0       11.13     8.85      9.13      0.37      0.12      0.38      1.61      1.96      0.0       
0.11      0.11      0.11      217.69    113.06    0.0       11.22     8.87      9.16      0.44      0.14      0.45      1.73      2.09      0.0       
0.12      0.12      0.12      237.02    123.67    0.0       11.30     8.94      9.23      0.53      0.165     0.52      1.87      2.31      0.0       
0.12      0.13      0.13      249.94    133.27    0.0       11.37     8.96      9.31      0.59      0.2       0.61      1.95      2.50      0.0       
0.14      0.14      0.14      273.28    142.21    0.0       11.44     8.97      9.34      0.72      0.22      0.71      2.14      2.64      0.0       
0.15      0.15      0.15      293.08    152.20    0.0       11.56     9.03      9.50      0.83      0.255     0.85      2.28      2.83      0.0       
0.16      0.16      0.16      311.53    161.16    0.0       11.61     9.11      9.54      0.92      0.295     0.94      2.41      2.95      0.0       
0.16      0.16      0.16      330.42    169.32    0.0       11.77     9.10      9.60      1.06      0.315     1.05      2.53      3.08      0.0       
0.17      0.17      0.17      349.02    179.67    0.0       11.77     9.13      9.66      1.17      0.355     1.19      2.66      3.26      0.0       
0.18      0.18      0.18      366.53    190.01    0.0       11.86     9.23      9.75      1.29      0.41      1.31      2.79      3.43      0.0       
0.19      0.19      0.19      388.94    200.14    0.0       11.98     9.24      9.84      1.46      0.455     1.44      2.94      3.62      0.0       
0.20      0.20      0.20      412.98    210.47    0.0       12.14     9.31      9.92      1.68      0.525     1.66      3.1       3.80      0.0       
0.21      0.21      0.20      424.89    220.13    0.0       12.12     9.34      10.00     1.74      0.56      1.77      3.17      3.95      0.0       
0.21      0.22      0.22      445.65    229.15    0.0       12.27     9.40      10.10     1.93      0.61      1.96      3.29      4.06      0.0       
0.22      0.23      0.22      468.34    240.53    0.0       12.41     9.43      10.17     2.13      0.695     2.10      3.43      4.28      0.0       
0.23      0.23      0.23      482.60    248.38    0.0       12.46     9.46      10.31     2.26      0.725     2.40      3.5       4.36      0.0       
0.24      0.24      0.24      505.41    259.56    0.0       12.57     9.55      10.35     2.49      0.81      2.49      3.65      4.53      0.0       
0.24      0.25      0.25      526.75    270.68    0.0       12.73     9.60      10.47     2.73      0.9       2.73      3.77      4.73      0.0       
0.25      0.26      0.25      549.14    280.34    0.0       12.83     9.65      10.55     2.96      0.965     2.94      3.91      4.85      0.0       
0.26      0.27      0.26      566.88    292.49    0.0       12.93     9.70      10.64     3.13      1.07      3.15      4.0       5.08      0.0       
0.27      0.28      0.27      590.45    303.50    0.0       13.05     9.80      10.72     3.42      1.16      3.38      4.13      5.22      0.0       
0.28      0.28      0.28      612.91    310.11    0.0       13.22     9.78      10.87     3.68      1.165     3.69      4.24      5.26      0.0       
0.28      0.29      0.28      633.22    321.50    0.0       13.34     9.86      11.00     3.94      1.285     4.00      4.35      5.43      0.0       
0.29      0.30      0.29      661.50    333.57    0.0       13.49     9.95      11.06     4.3       1.43      4.20      4.51      5.61      0.0       
0.30      0.31      0.30      681.34    344.06    0.0       13.59     10.02     11.22     4.56      1.525     4.58      4.61      5.75      0.0       
0.30      0.32      0.31      697.95    356.76    0.0       13.70     10.10     11.38     4.77      1.665     4.97      4.67      5.92      0.0       
0.31      0.32      0.31      720.11    366.01    0.0       13.87     10.11     11.37     5.05      1.715     5.04      4.76      6.05      0.0       
0.32      0.34      0.32      746.93    379.88    0.0       14.03     10.22     11.51     5.48      1.905     5.36      4.89      6.26      0.0       
0.32      0.34      0.32      766.48    390.71    0.0       14.12     10.30     11.62     5.73      2.04      5.61      4.98      6.39      0.0       
0.33      0.34      0.33      791.09    396.65    0.0       14.26     10.28     11.76     6.02      2.025     6.05      5.08      6.39      0.0       
0.34      0.35      0.34      810.60    410.66    0.0       14.38     10.40     11.91     6.34      2.25      6.47      5.16      6.61      0.0       
0.34      0.36      0.34      834.48    423.40    0.0       14.55     10.51     11.99     6.68      2.41      6.73      5.26      6.76      0.0       
0.35      0.36      0.35      858.55    430.74    0.0       14.69     10.53     12.12     7.11      2.47      7.08      5.37      6.79      0.0       
0.36      0.38      0.36      891.00    444.96    0.0       14.93     10.62     12.28     7.67      2.69      7.51      5.5       7.00      0.0       
0.36      0.38      0.36      903.40    455.27    0.0       14.96     10.68     12.37     7.77      2.795     7.75      5.52      7.10      0.0       
0.37      0.39      0.37      937.81    466.20    0.0       15.22     10.73     12.54     8.41      2.92      8.22      5.66      7.21      0.0       
0.37      0.39      0.37      956.14    478.43    0.0       15.31     10.83     12.66     8.61      3.1       8.62      5.71      7.34      0.0       
0.37      0.40      0.38      974.04    488.86    0.0       15.42     10.88     12.76     8.92      3.255     8.85      5.78      7.46      0.0       
0.38      0.41      0.39      1006.40   502.54    0.0       15.70     10.99     13.00     9.53      3.475     9.64      5.88      7.60      0.0       
0.39      0.42      0.39      1029.91   516.37    0.0       15.80     11.10     13.03     9.9       3.745     9.69      5.98      7.77      0.0       
0.39      0.42      0.39      1063.41   528.16    0.0       16.09     11.19     13.20     10.56     3.92      10.21     6.08      7.88      0.0       
0.40      0.43      0.40      1090.20   541.40    0.0       16.25     11.27     13.40     10.98     4.105     10.69     6.16      8.01      0.0       
0.40      0.44      0.41      1115.65   555.57    0.0       16.39     11.39     13.57     11.43     4.395     11.23     6.24      8.16      0.0       
0.41      0.44      0.41      1128.36   565.47    0.0       16.42     11.44     13.62     11.54     4.54      11.40     6.26      8.23      0.0       
