

Profile mpki, ipc


IndexFile Name      IPC       MPKI      

1    400.perlbench  2.086     0.116     

2    401.bzip2      2.016     17.850    

3    403.gcc        1.831     1.362     

4    429.mcf        1.758     128.946   

5    433.milc       2.239     54.325    

6    435.gromacs    1.874     6.713     

7    436.cactusADM  1.341     40.023    

8    437.leslie3d   2.358     67.658    

9    444.namd       2.424     1.014     

10   445.gobmk      2.177     2.292     

11   447.dealII     1.879     1.079     

12   450.soplex     1.967     46.487    

13   453.povray     1.876     2.906     

14   454.calculix   1.772     0.300     

15   456.hmmer      1.604     7.878     

16   458.sje        2.264     1.110     

17   459.GemsFDTD   1.321     106.182   

18   462.libquantum 2.319     50.000    

19   464.h264ref    1.691     5.523     

20   465.tonto      1.854     2.262     

21   470.lbm        1.884     54.502    

22   471.omnetpp    2.675     8.236     

23   473.astar      2.033     10.600    

24   481.wrf        2.749     1.055     

25   482.sphinx3    2.335     27.850    

26   483.xalancbmk  2.043     24.919    
